id,name,category,price,quantity_in_stock
1,Laptop Pro 15",Electronics,1299.99,45
2,Wireless Mouse,Accessories,29.99,150
3,Mechanical Keyboard,Accessories,89.99,80
4,USB-C Hub,Accessories,49.99,120
5,27" 4K Monitor,Electronics,449.99,30
6,Webcam HD 1080p,Electronics,79.99,65
7,Noise-Cancelling Headphones,Audio,199.99,55
8,Bluetooth Speaker,Audio,59.99,90
9,External SSD 1TB,Storage,109.99,70
10,RAM 16 GB DDR5,Components,74.99,100
11,Graphics Card RTX,Components,599.99,25
12,Laptop Stand,Accessories,39.99,110
13,Desk Lamp LED,Office,34.99,85
14,Ergonomic Chair,Office,349.99,20
15,Power Strip 6-Outlet,Office,19.99,200
